5,0,0
11,0,0
17,0,0
23,0,0
29,0,0
35,0,0
40,0,0
46,0,0
52,0,0
57,0,0
63,0,0
68,0,0
73,0,0
78,0,0
83,0,0
88,0,0
93,0,0
99,0,0
105,0,0
110,0,0
117,0,0
124,0,0
131,0,0
137,0,0
143,0,0
149,0,0
155,0,0
161,0,0
167,0,0
172,0,0
178,0,0
183,0,0
189,0,0
194,0,0
200,0,0
206,0,0
211,0,0
217,0,0
223,0,0
229,0,0
235,0,0
241,0,0
249,0,0
255,0,0
262,0,0
267,0,0
273,0,0
279,0,0
284,0,0
289,0,0
294,0,0
299,0,0
304,0,0
310,0,0
317,0,0
323,0,0
329,0,0
335,0,0
341,0,0
346,0,0
352,0,0
359,0,0
365,0,0
371,0,0
378,0,0
385,0,0
391,0,0
396,0,0
402,0,0
408,0,0
414,0,0
420,0,0
426,0,0
433,0,0
438,0,0
446,0,0
452,0,0
458,0,0
464,0,0
470,0,0
476,0,0
482,0,0
488,0,0
493,0,0
500,0,0
505,0,0
511,0,0
517,0,0
524,0,0
530,0,0
536,0,0
542,0,0
548,0,0
555,0,0
561,0,0
567,0,0
572,0,0
577,0,0
583,0,0
589,0,0
594,0,0
601,0,0
607,0,0
615,0,0
621,0,0
626,0,0
632,0,0
638,0,0
644,0,0
650,0,0
656,0,0
662,0,0
667,0,0
672,0,0
677,0,0
683,0,0
688,0,0
694,0,0
700,0,0
707,0,0
714,0,0
721,0,0
727,0,0
733,0,0
740,0,0
746,0,0
752,0,0
758,0,0
764,0,0
770,0,0
778,0,0
786,0,0
791,0,0
798,0,0
806,0,0
813,0,0
820,0,0
826,0,0
832,0,0
839,0,0
846,0,0
852,0,0
858,0,0
864,0,0
870,0,0
876,0,0
882,0,0
887,0,0
893,0,0
900,0,0
